Name,Permalink,ID,Categories,Tags,Date,Post Type,Doc By Plan,模組,TNB,訂閱版本,Rollup,認領作者數量,create,note,產品
加價購設定(訂單/商品加價購),https://www.cyberbiz.io/support/?p=953,953,"商品>商品群組,常見問題,行銷活動>加價購/滿額贈",,"July 26, 2021 10:15 PM (GMT+8)",post,"設定商品加價購 (https://app.notion.com/p/24f24ee0f33c8076838ac298abc73112?pvs=21), 設定訂單加價購 (https://app.notion.com/p/2e624ee0f33c80b884a3e8339da3d1f1?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/25024ee0f33c8058898fcdf9f63df2ef","branch,branch","https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e","Jase,Jase",1,"December 31, 2025 12:22 PM",,"EC,EC"
結帳優惠計算順序,https://www.cyberbiz.io/support/?p=1141,1141,"常見問題,行銷活動>商品優惠折扣",,"March 15, 2019 4:07 AM (GMT+8)",post,結帳優惠計算順序 (https://app.notion.com/p/36d24ee0f33c80a7a1e9feb094c74414?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選折數,https://www.cyberbiz.io/support/?p=1304,1304,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 7:25 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選固定金額,https://www.cyberbiz.io/support/?p=1335,1335,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 7:57 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選折固定金額,https://www.cyberbiz.io/support/?p=1357,1357,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 8:14 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
設定商品任選折扣活動：任選每件折固定金額,https://www.cyberbiz.io/support/?p=1380,1380,"常見問題,行銷活動>商品優惠折扣",,"March 18, 2019 8:32 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
行銷活動 : 生日禮(紅利點數/優惠券),https://www.cyberbiz.io/support/?p=1461,1461,"行銷活動>生日禮,常見問題",,"May 21, 2024 8:33 AM (GMT+8)",post,設定生日禮 (https://app.notion.com/p/25924ee0f33c80028707da6e306e3eb8?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
部落格管理,https://www.cyberbiz.io/support/?p=1510,1510,"行銷活動>行銷工具,常見問題",,"May 10, 2022 3:10 AM (GMT+8)",post,部落格管理與文章發佈指南 (https://app.notion.com/p/32824ee0f33c8087aa0df04d00082e58?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c80a895f2e78d977c595a",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,
全館折扣 : 批次 建立/發送 優惠券(碼),https://www.cyberbiz.io/support/?p=1533,1533,"TW台灣站,行銷活動>優惠券(碼)",,"July 20, 2023 2:53 AM (GMT+8)",post,"設定優惠碼 (https://app.notion.com/p/25a24ee0f33c8094bcbcfffd0eefb76a?pvs=21), 設定優惠券 (https://app.notion.com/p/25a24ee0f33c8064b885debe778cada3?pvs=21)","https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e","branch,branch","https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396,https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396","Ann Chen,Ann Chen",1,"December 31, 2025 12:22 PM",,"EC,EC"
定期定額 : 活動設定,https://www.cyberbiz.io/support/?p=1618,1618,行銷活動>定期定額,"定期定額,訂閱","March 30, 2023 1:16 AM (GMT+8)",post,定期定額活動頁 (https://app.notion.com/p/2d824ee0f33c80928c05fbc6b852231a?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
一頁式商店頁面,https://www.cyberbiz.io/support/?p=1701,1701,"行銷活動>一頁式商店,常見問題",,"January 4, 2024 2:49 AM (GMT+8)",post,一頁式商店 (https://app.notion.com/p/25a24ee0f33c80ac90e5c1177d4e692c?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
生成含指定商品的購物車連結,https://www.cyberbiz.io/support/?p=2369,2369,"行銷活動>行銷工具,常見問題,商品",,"March 22, 2019 8:49 AM (GMT+8)",post,建立含指定商品的購物車連結 (https://app.notion.com/p/35124ee0f33c80e78a79e2d4edd3171b?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,
商品限購數量設定,https://www.cyberbiz.io/support/?p=3354,3354,"TW台灣站,商品>商品群組,行銷活動","會員,限購","November 23, 2022 2:36 AM (GMT+8)",post,設定商品限購數量 (https://app.notion.com/p/37924ee0f33c8086a996ce03a9695c66?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",branch,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,
商品群組：單品限時折扣,https://www.cyberbiz.io/support/?p=3368,3368,"商品>商品群組,行銷活動",,"August 2, 2019 3:41 AM (GMT+8)",post,設定單品限時折扣 (https://app.notion.com/p/24f24ee0f33c802594b5d8342c61358d?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
指定金流贈送紅利,https://www.cyberbiz.io/support/?p=3470,3470,"商品>商品群組,行銷活動>紅利點數","紅利點數,金流","June 21, 2022 7:00 AM (GMT+8)",post,指定金流送紅利 (https://app.notion.com/p/25924ee0f33c80408a0ac31ad292746d?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,Ann Chen,1,"December 31, 2025 12:22 PM",,EC
指定物流贈送紅利,https://www.cyberbiz.io/support/?p=3480,3480,"商品>商品群組,行銷活動",,"August 5, 2019 9:12 AM (GMT+8)",post,指定物流送紅利 (https://app.notion.com/p/2d824ee0f33c8065b70ecedb998f1006?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e,Ann Chen,1,"December 31, 2025 12:22 PM",,EC
指定商品送紅利,https://www.cyberbiz.io/support/?p=3489,3489,"商品>商品群組,行銷活動",,"August 20, 2021 3:00 AM (GMT+8)",post,指定商品送紅利 (https://app.notion.com/p/25924ee0f33c80d4ba43d63816b2e22d?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
行銷活動 : 商品排除指定優惠,https://www.cyberbiz.io/support/?p=3623,3623,"商品>商品群組,行銷活動",,"November 5, 2021 7:44 AM (GMT+8)",post,設定商品排除指定優惠 (https://app.notion.com/p/24f24ee0f33c80308b42dbb43e26f8e9?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,"EC,POS"
將網站地圖 SITEMAP 上傳至 GSC,https://www.cyberbiz.io/support/?p=3807,3807,網站設定>前台介面,,"July 2, 2021 4:23 AM (GMT+8)",post,將 Sitemap 提交至 Google Search Console (https://app.notion.com/p/Sitemap-Google-Search-Console-32924ee0f33c8033824ed1331bf7ac32?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
定期定額(定期訂單列表),https://www.cyberbiz.io/support/?p=4570,4570,行銷活動>定期定額,,"November 11, 2019 8:47 AM (GMT+8)",post,定期定額訂單管理 (https://app.notion.com/p/2d824ee0f33c80e78f7eecca313e6cc9?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
行銷活動 : 紅利點數設定,https://www.cyberbiz.io/support/?p=6103,6103,常見問題,,"September 13, 2021 2:57 AM (GMT+8)",post,紅利點數 (https://app.notion.com/p/25924ee0f33c805ba3d6c4524c86d2df?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,,Ann Chen,1,"December 31, 2025 12:22 PM",,EC
優惠券設定說明,https://www.cyberbiz.io/support/?p=6207,6207,行銷活動>優惠券(碼),,"March 6, 2020 3:09 AM (GMT+8)",post,設定優惠券 (https://app.notion.com/p/25a24ee0f33c8064b885debe778cada3?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
優惠碼,https://www.cyberbiz.io/support/?p=6228,6228,"TW台灣站,行銷活動>優惠券(碼)","優惠碼,行銷活動","May 9, 2024 6:39 AM (GMT+8)",post,設定優惠碼 (https://app.notion.com/p/25a24ee0f33c8094bcbcfffd0eefb76a?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
行銷活動 : 互動遊戲,https://www.cyberbiz.io/support/?p=6429,6429,"TW台灣站,行銷活動>抽獎遊戲","優惠券,品牌認知,紅利,輪盤遊戲","October 26, 2022 6:00 AM (GMT+8)",post,互動遊戲(EC) (https://app.notion.com/p/EC-25a24ee0f33c806bb5dfce647b69bb86?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,"EC,POS"
已成立的訂單是哪筆定期訂單的第幾期訂單？,https://www.cyberbiz.io/support/?p=6816,6816,常見問題,,"April 16, 2020 2:25 AM (GMT+8)",post,定期定額訂單管理 (https://app.notion.com/p/2d824ee0f33c80e78f7eecca313e6cc9?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
定期訂單明細頁面,https://www.cyberbiz.io/support/?p=6824,6824,"行銷活動>定期定額,常見問題",,"April 16, 2020 2:58 AM (GMT+8)",post,定期定額訂單管理 (https://app.notion.com/p/2d824ee0f33c80e78f7eecca313e6cc9?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
多國語系-條件分類,https://www.cyberbiz.io/support/?p=7291,7291,跨境電商>多國語系,,"May 14, 2020 6:14 AM (GMT+8)",post,設定商品條件分類群組 (https://app.notion.com/p/24f24ee0f33c8095bab1d0350591b81f?pvs=21),"https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e, https://app.notion.com/24f24ee0f33c809e8ce5ce92c5149e94",trunk,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8012811dd1806920767b, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c8085a187f6bebb799990, https://app.notion.com/23b24ee0f33c8092bbddc34398a259f7, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e",Jase,1,"December 31, 2025 12:22 PM",,EC
多國語系-任選折扣,https://www.cyberbiz.io/support/?p=7316,7316,跨境電商>多國語系,,"May 14, 2020 7:21 AM (GMT+8)",post,任選折扣 (https://app.notion.com/p/25a24ee0f33c80ceb3a8f398ce7bebb0?pvs=21),https://app.notion.com/24f24ee0f33c8079af5af73ce452ee9e,branch,"https://app.notion.com/23b24ee0f33c80009ef1fc21c42a1055, https://app.notion.com/23b24ee0f33c8032872ce1663e8b210d, https://app.notion.com/23b24ee0f33c807a94a3d681ff970cc6, https://app.notion.com/23b24ee0f33c80d9aed4e1c445c39e0e, https://app.notion.com/24e24ee0f33c80d3ad9cf13885284396",Ann Chen,1,"December 31, 2025 12:22 PM",,EC
